step, strain11, strain22, strain12, stress11, stress22, stress12, d1, d2, d4, d5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 5e-05, 5e-05, 0.0001, 18.3635, 9.491, 9.536, 0, 0, 0, 0, 
2, 0.0001, 0.0001, 0.0002, 36.7269, 18.982, 19.072, 0, 0, 0, 0, 
3, 0.00015, 0.00015, 0.0003, 55.0904, 28.473, 28.608, 0, 0, 0, 0, 
4, 0.0002, 0.0002, 0.0004, 73.4539, 37.964, 38.144, 0, 0, 0, 0, 
5, 0.00025, 0.00025, 0.0005, 91.8174, 47.455, 47.68, 0, 0, 0, 0, 
6, 0.0003, 0.0003, 0.0006, 110.181, 56.946, 57.216, 0, 0, 0, 0, 
7, 0.00035, 0.00035, 0.0007, 128.544, 66.437, 66.752, 0, 0, 0, 0, 
8, 0.0004, 0.0004, 0.0008, 146.908, 75.928, 76.288, 0, 0, 0, 0, 
9, 0.00045, 0.00045, 0.0009, 156.338, 80.2478, 80.8817, 0, 0, 0.0287796, 0, 
10, 0.0005, 0.0005, 0.001, 160.99, 81.8326, 82.8486, 0, 0, 0.0710772, 0, 
11, 0.00055, 0.00055, 0.0011, 164.46, 82.7749, 84.1843, 0, 0, 0.115716, 0, 
12, 0.0006, 0.0006, 0.0012, 167.186, 83.3307, 85.1328, 0, 0, 0.161759, 0, 
13, 0.00065, 0.00065, 0.0013, 169.4, 83.6338, 85.8219, 0, 0, 0.208771, 0, 
14, 0.0007, 0.0007, 0.0014, 171.246, 83.7657, 86.3302, 0, 0, 0.256492, 0, 
15, 0.00075, 0.00075, 0.0015, 172.817, 83.7796, 86.7091, 0, 0, 0.304751, 0, 
16, 0.0008, 0.0008, 0.0016, 174.181, 83.7118, 86.9941, 0, 0, 0.353421, 0, 
17, 0.00085, 0.00085, 0.0017, 175.383, 83.5875, 87.2102, 0, 0, 0.402408, 0, 
18, 0.0009, 0.0009, 0.0018, 176.46, 83.425, 87.3756, 0, 0, 0.451638, 0, 
19, 0.00095, 0.00095, 0.0019, 177.437, 83.237, 87.5035, 0, 0, 0.501052, 0, 
20, 0.001, 0.001, 0.002, 178.334, 83.0332, 87.6037, 0, 0, 0.550598, 0, 
21, 0.00105, 0.00105, 0.0021, 179.165, 82.8206, 87.6838, 0, 0, 0.600235, 0, 
22, 0.0011, 0.0011, 0.0022, 179.944, 82.6043, 87.7493, 0, 0, 0.649929, 0, 
23, 0.00115, 0.00115, 0.0023, 180.679, 82.3881, 87.8046, 0, 0, 0.699647, 0, 
24, 0.0012, 0.0012, 0.0024, 181.379, 82.1748, 87.8531, 0, 0, 0.749363, 0, 
25, 0.00125, 0.00125, 0.0025, 182.048, 81.9666, 87.8973, 0, 0, 0.799053, 0, 
26, 0.0013, 0.0013, 0.0026, 182.693, 81.765, 87.9392, 0, 0, 0.848697, 0, 
27, 0.00135, 0.00135, 0.0027, 183.317, 81.5711, 87.9805, 0, 0, 0.898276, 0, 
28, 0.0014, 0.0014, 0.0028, 183.924, 81.3856, 88.0222, 0, 0, 0.947774, 0, 
29, 0.00145, 0.00145, 0.0029, 184.516, 81.209, 88.0654, 0, 0, 0.997174, 0, 
30, 0.0015, 0.0015, 0.003, 185.096, 81.0418, 88.1108, 0, 0, 1.04646, 0, 
31, 0.00155, 0.00155, 0.0031, 185.665, 80.884, 88.159, 0, 0, 1.09563, 0, 
32, 0.0016, 0.0016, 0.0032, 186.226, 80.7358, 88.2104, 0, 0, 1.14467, 0, 
33, 0.00165, 0.00165, 0.0033, 186.78, 80.5972, 88.2653, 0, 0, 1.19356, 0, 
34, 0.0017, 0.0017, 0.0034, 187.328, 80.468, 88.324, 0, 0, 1.2423, 0, 
35, 0.00175, 0.00175, 0.0035, 187.871, 80.3482, 88.3867, 0, 0, 1.29087, 0, 
36, 0.0018, 0.0018, 0.0036, 188.41, 80.2376, 88.4534, 0, 0, 1.33928, 0, 
37, 0.00185, 0.00185, 0.0037, 188.946, 80.136, 88.5244, 0, 0, 1.38751, 0, 
38, 0.0019, 0.0019, 0.0038, 189.479, 80.0432, 88.5996, 0, 0, 1.43556, 0, 
39, 0.00195, 0.00195, 0.0039, 190.01, 79.9591, 88.679, 0, 0, 1.48341, 0, 
40, 0.002, 0.002, 0.004, 190.54, 79.8833, 88.7627, 0, 0, 1.53108, 0, 
