step, strain11, strain22, strain12, stress11, stress22, stress12, d1, d2, d4, d5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 5e-05, 5e-05, 0.0001, 18.3635, 9.491, 9.536, 0, 0, 0, 0, 
2, 0.0001, 0.0001, 0.0002, 36.7269, 18.982, 19.072, 0, 0, 0, 0, 
3, 0.00015, 0.00015, 0.0003, 55.0904, 28.473, 28.608, 0, 0, 0, 0, 
4, 0.0002, 0.0002, 0.0004, 73.4539, 37.964, 38.144, 0, 0, 0, 0, 
5, 0.00025, 0.00025, 0.0005, 91.8174, 47.455, 47.68, 0, 0, 0, 0, 
6, 0.0003, 0.0003, 0.0006, 110.181, 56.946, 57.216, 0, 0, 0, 0, 
7, 0.00035, 0.00035, 0.0007, 128.544, 66.437, 66.752, 0, 0, 0, 0, 
8, 0.0004, 0.0004, 0.0008, 146.908, 75.928, 76.288, 0, 0, 0, 0, 
9, 0.00045, 0.00045, 0.0009, 165.271, 85.419, 85.824, 0, 0, 0, 0, 
10, 0.0005, 0.0005, 0.001, 183.635, 94.91, 95.36, 0, 0, 0, 0, 
11, 0.00055, 0.00055, 0.0011, 201.998, 104.399, 104.894, 0, 1.48451e-05, 0, 0, 
12, 0.0006, 0.0006, 0.0012, 220.347, 113.808, 114.348, 0, 0.000731734, 0, 0, 
13, 0.00065, 0.00065, 0.0013, 238.661, 123.008, 123.596, 0, 0.00300752, 0, 0, 
14, 0.0007, 0.0007, 0.0014, 256.923, 131.902, 132.541, 0, 0.00726465, 0, 0, 
15, 0.00075, 0.00075, 0.0015, 275.118, 140.401, 141.094, 0, 0.0137956, 0, 0, 
16, 0.0008, 0.0008, 0.0016, 293.232, 148.422, 149.173, 0, 0.0228147, 0, 0, 
17, 0.00085, 0.00085, 0.0017, 311.253, 155.897, 156.71, 0, 0.0344744, 0, 0, 
18, 0.0009, 0.0009, 0.0018, 329.171, 162.772, 163.65, 0, 0.0488721, 0, 0, 
19, 0.00095, 0.00095, 0.0019, 346.982, 169.009, 169.958, 0, 0.0660541, 0, 0, 
20, 0.001, 0.001, 0.002, 364.681, 174.592, 175.614, 0, 0.0860167, 0, 0, 
21, 0.00105, 0.00105, 0.0021, 382.269, 179.522, 180.621, 0, 0.108709, 0, 0, 
22, 0.0011, 0.0011, 0.0022, 399.749, 183.819, 184.996, 0, 0.134033, 0, 0, 
23, 0.00115, 0.00115, 0.0023, 417.092, 187.516, 188.761, 8.50102e-05, 0.161847, 0, 0, 
24, 0.0012, 0.0012, 0.0024, 427.765, 190.216, 189.562, 0.0153621, 0.191971, 0, 0, 
25, 0.00125, 0.00125, 0.0025, 436.679, 192.337, 189.506, 0.0338203, 0.224186, 0, 0, 
26, 0.0013, 0.0013, 0.0026, 444.605, 194.001, 188.984, 0.0537007, 0.25824, 0, 0, 
27, 0.00135, 0.00135, 0.0027, 451.776, 195.294, 188.157, 0.0745371, 0.293855, 0, 0, 
28, 0.0014, 0.0014, 0.0028, 458.329, 196.293, 187.135, 0.0960909, 0.330731, 0, 0, 
29, 0.00145, 0.00145, 0.0029, 464.358, 197.072, 186.004, 0.118214, 0.368552, 0, 0, 
30, 0.0015, 0.0015, 0.003, 469.938, 197.695, 184.83, 0.140805, 0.406994, 0, 0, 
31, 0.00155, 0.00155, 0.0031, 475.128, 198.224, 183.667, 0.163788, 0.445729, 0, 0, 
32, 0.0016, 0.0016, 0.0032, 479.975, 198.709, 182.557, 0.187105, 0.484434, 0, 0, 
33, 0.00165, 0.00165, 0.0033, 484.521, 199.2, 181.533, 0.21071, 0.522795, 0, 0, 
34, 0.0017, 0.0017, 0.0034, 488.8, 199.734, 180.618, 0.234564, 0.560515, 0, 0, 
35, 0.00175, 0.00175, 0.0035, 492.842, 200.346, 179.832, 0.258636, 0.597318, 0, 0, 
36, 0.0018, 0.0018, 0.0036, 496.673, 201.063, 179.187, 0.282899, 0.632951, 0, 0, 
37, 0.00185, 0.00185, 0.0037, 500.314, 201.909, 178.692, 0.307329, 0.667195, 0, 0, 
38, 0.0019, 0.0019, 0.0038, 503.784, 202.902, 178.351, 0.331906, 0.699859, 0, 0, 
39, 0.00195, 0.00195, 0.0039, 507.101, 204.054, 178.166, 0.356612, 0.730787, 0, 0, 
40, 0.002, 0.002, 0.004, 510.278, 205.375, 178.136, 0.381431, 0.75986, 0, 0, 
