step, strain11, strain22, strain12, stress11, stress22, stress12, d1, d2, d4, d5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 3e-05, 0, 0, 385.736, 50.3514, 0, 5.15219e-06, 0, 0, 0, 
2, 6e-05, 0, 0, 771.232, 100.672, 0, 0.000305387, 0, 0, 0, 
3, 9e-05, 0, 0, 1156.23, 150.927, 0, 0.000821353, 0, 0, 0, 
4, 0.00012, 0, 0, 1540.59, 201.098, 0, 0.00148299, 0, 0, 0, 
5, 0.00015, 0, 0, 1924.18, 251.17, 0, 0.00226297, 0, 0, 0, 
6, 0.00018, 0, 0, 2306.91, 301.129, 0, 0.00314519, 0, 0, 0, 
7, 0.00021, 0, 0, 2688.7, 350.965, 0, 0.00411867, 0, 0, 0, 
8, 0.00024, 0, 0, 3069.45, 400.666, 0, 0.00517526, 0, 0, 0, 
9, 0.00027, 0, 0, 3449.11, 450.224, 0, 0.00630857, 0, 0, 0, 
10, 0.0003, 0, 0, 3827.6, 499.629, 0, 0.00751344, 0, 0, 0, 
11, 0.00033, 0, 0, 4204.86, 548.875, 0, 0.00878556, 0, 0, 0, 
12, 0.00036, 0, 0, 4580.84, 597.953, 0, 0.0101213, 0, 0, 0, 
13, 0.00039, 0, 0, 4955.49, 646.857, 0, 0.0115173, 0, 0, 0, 
14, 0.00042, 0, 0, 5328.75, 695.58, 0, 0.012971, 0, 0, 0, 
15, 0.00045, 0, 0, 5700.59, 744.117, 0, 0.0144798, 0, 0, 0, 
16, 0.00048, 0, 0, 6070.95, 792.463, 0, 0.0160415, 0, 0, 0, 
17, 0.00051, 0, 0, 6439.81, 840.611, 0, 0.017654, 0, 0, 0, 
18, 0.00054, 0, 0, 6807.12, 888.557, 0, 0.0193155, 0, 0, 0, 
19, 0.00057, 0, 0, 7172.85, 936.297, 0, 0.0210243, 0, 0, 0, 
20, 0.0006, 0, 0, 7536.97, 983.826, 0, 0.0227789, 0, 0, 0, 
21, 0.00063, 0, 0, 7899.44, 1031.14, 0, 0.0245777, 0, 0, 0, 
22, 0.00066, 0, 0, 8260.24, 1078.24, 0, 0.0264195, 0, 0, 0, 
23, 0.00069, 0, 0, 8619.34, 1125.11, 0, 0.0283029, 0, 0, 0, 
24, 0.00072, 0, 0, 8976.72, 1171.76, 0, 0.0302268, 0, 0, 0, 
25, 0.00075, 0, 0, 9332.35, 1218.18, 0, 0.0321901, 0, 0, 0, 
26, 0.00078, 0, 0, 9686.21, 1264.37, 0, 0.0341917, 0, 0, 0, 
27, 0.00081, 0, 0, 10038.3, 1310.33, 0, 0.0362305, 0, 0, 0, 
28, 0.00084, 0, 0, 10388.6, 1356.05, 0, 0.0383057, 0, 0, 0, 
29, 0.00087, 0, 0, 10737, 1401.54, 0, 0.0404163, 0, 0, 0, 
30, 0.0009, 0, 0, 11083.6, 1446.78, 0, 0.0425614, 0, 0, 0, 
31, 0.00093, 0, 0, 11428.4, 1491.78, 0, 0.0447403, 0, 0, 0, 
32, 0.00096, 0, 0, 11771.3, 1536.54, 0, 0.0469521, 0, 0, 0, 
33, 0.00099, 0, 0, 12112.3, 1581.06, 0, 0.0491961, 0, 0, 0, 
34, 0.00102, 0, 0, 12451.4, 1625.32, 0, 0.0514715, 0, 0, 0, 
35, 0.00105, 0, 0, 12788.6, 1669.34, 0, 0.0537776, 0, 0, 0, 
36, 0.00108, 0, 0, 13123.9, 1713.11, 0, 0.0561137, 0, 0, 0, 
37, 0.00111, 0, 0, 13457.3, 1756.63, 0, 0.0584792, 0, 0, 0, 
38, 0.00114, 0, 0, 13788.8, 1799.9, 0, 0.0608735, 0, 0, 0, 
39, 0.00117, 0, 0, 14118.3, 1842.92, 0, 0.0632959, 0, 0, 0, 
40, 0.0012, 0, 0, 14446, 1885.68, 0, 0.0657458, 0, 0, 0, 
41, 0.00123, 0, 0, 14771.6, 1928.19, 0, 0.0682226, 0, 0, 0, 
42, 0.00126, 0, 0, 15095.4, 1970.45, 0, 0.0707258, 0, 0, 0, 
43, 0.00129, 0, 0, 15417.2, 2012.45, 0, 0.0732549, 0, 0, 0, 
44, 0.00132, 0, 0, 15737, 2054.2, 0, 0.0758093, 0, 0, 0, 
45, 0.00135, 0, 0, 16054.9, 2095.7, 0, 0.0783884, 0, 0, 0, 
46, 0.00138, 0, 0, 16370.8, 2136.94, 0, 0.0809918, 0, 0, 0, 
47, 0.00141, 0, 0, 16684.9, 2177.93, 0, 0.0836191, 0, 0, 0, 
48, 0.00144, 0, 0, 16996.9, 2218.67, 0, 0.0862696, 0, 0, 0, 
49, 0.00147, 0, 0, 17307, 2259.15, 0, 0.088943, 0, 0, 0, 
50, 0.0015, 0, 0, 17615.2, 2299.37, 0, 0.0916387, 0, 0, 0, 
51, 0.00153, 0, 0, 17921.4, 2339.35, 0, 0.0943564, 0, 0, 0, 
52, 0.00156, 0, 0, 18225.7, 2379.07, 0, 0.0970956, 0, 0, 0, 
53, 0.00159, 0, 0, 18528.1, 2418.54, 0, 0.0998559, 0, 0, 0, 
54, 0.00162, 0, 0, 18828.6, 2457.76, 0, 0.102637, 0, 0, 0, 
55, 0.00165, 0, 0, 19127.1, 2496.72, 0, 0.105438, 0, 0, 0, 
56, 0.00168, 0, 0, 19423.7, 2535.44, 0, 0.108259, 0, 0, 0, 
57, 0.00171, 0, 0, 19718.4, 2573.91, 0, 0.1111, 0, 0, 0, 
58, 0.00174, 0, 0, 20011.2, 2612.13, 0, 0.113959, 0, 0, 0, 
59, 0.00177, 0, 0, 20302.1, 2650.1, 0, 0.116837, 0, 0, 0, 
60, 0.0018, 0, 0, 20591.1, 2687.82, 0, 0.119734, 0, 0, 0, 
61, 0.00183, 0, 0, 20878.2, 2725.3, 0, 0.122648, 0, 0, 0, 
62, 0.00186, 0, 0, 21163.4, 2762.54, 0, 0.12558, 0, 0, 0, 
63, 0.00189, 0, 0, 21446.8, 2799.53, 0, 0.12853, 0, 0, 0, 
64, 0.00192, 0, 0, 21728.3, 2836.28, 0, 0.131496, 0, 0, 0, 
65, 0.00195, 0, 0, 22008, 2872.78, 0, 0.134479, 0, 0, 0, 
66, 0.00198, 0, 0, 22285.8, 2909.05, 0, 0.137478, 0, 0, 0, 
67, 0.00201, 0, 0, 22561.9, 2945.08, 0, 0.140492, 0, 0, 0, 
68, 0.00204, 0, 0, 22836, 2980.87, 0, 0.143523, 0, 0, 0, 
69, 0.00207, 0, 0, 23108.4, 3016.42, 0, 0.146569, 0, 0, 0, 
70, 0.0021, 0, 0, 23379, 3051.74, 0, 0.149629, 0, 0, 0, 
71, 0.00213, 0, 0, 23647.7, 3086.82, 0, 0.152704, 0, 0, 0, 
72, 0.00216, 0, 0, 23914.7, 3121.67, 0, 0.155794, 0, 0, 0, 
73, 0.00219, 0, 0, 24180, 3156.3, 0, 0.158897, 0, 0, 0, 
74, 0.00222, 0, 0, 24443.5, 3190.69, 0, 0.162015, 0, 0, 0, 
75, 0.00225, 0, 0, 24705.2, 3224.85, 0, 0.165145, 0, 0, 0, 
76, 0.00228, 0, 0, 24965.2, 3258.79, 0, 0.168289, 0, 0, 0, 
77, 0.00231, 0, 0, 25223.4, 3292.5, 0, 0.171446, 0, 0, 0, 
78, 0.00234, 0, 0, 25480, 3325.99, 0, 0.174615, 0, 0, 0, 
79, 0.00237, 0, 0, 25734.9, 3359.26, 0, 0.177797, 0, 0, 0, 
80, 0.0024, 0, 0, 25988, 3392.31, 0, 0.18099, 0, 0, 0, 
81, 0.00243, 0, 0, 26239.5, 3425.14, 0, 0.184196, 0, 0, 0, 
82, 0.00246, 0, 0, 26489.4, 3457.75, 0, 0.187413, 0, 0, 0, 
83, 0.00249, 0, 0, 26737.6, 3490.14, 0, 0.190641, 0, 0, 0, 
84, 0.00252, 0, 0, 26984.1, 3522.33, 0, 0.19388, 0, 0, 0, 
85, 0.00255, 0, 0, 27229, 3554.3, 0, 0.19713, 0, 0, 0, 
86, 0.00258, 0, 0, 27472.3, 3586.06, 0, 0.20039, 0, 0, 0, 
87, 0.00261, 0, 0, 27714, 3617.61, 0, 0.203661, 0, 0, 0, 
88, 0.00264, 0, 0, 27954.2, 3648.95, 0, 0.206941, 0, 0, 0, 
89, 0.00267, 0, 0, 28192.7, 3680.09, 0, 0.210231, 0, 0, 0, 
90, 0.0027, 0, 0, 28429.7, 3711.03, 0, 0.213531, 0, 0, 0, 
91, 0.00273, 0, 0, 28665.2, 3741.76, 0, 0.21684, 0, 0, 0, 
92, 0.00276, 0, 0, 28899.1, 3772.29, 0, 0.220158, 0, 0, 0, 
93, 0.00279, 0, 0, 29131.5, 3802.63, 0, 0.223485, 0, 0, 0, 
94, 0.00282, 0, 0, 29362.3, 3832.77, 0, 0.226821, 0, 0, 0, 
95, 0.00285, 0, 0, 29591.7, 3862.71, 0, 0.230164, 0, 0, 0, 
96, 0.00288, 0, 0, 29819.6, 3892.46, 0, 0.233516, 0, 0, 0, 
97, 0.00291, 0, 0, 30046.1, 3922.02, 0, 0.236876, 0, 0, 0, 
98, 0.00294, 0, 0, 30271, 3951.38, 0, 0.240244, 0, 0, 0, 
99, 0.00297, 0, 0, 30494.6, 3980.56, 0, 0.243619, 0, 0, 0, 
100, 0.003, 0, 0, 30716.7, 4009.55, 0, 0.247001, 0, 0, 0, 
