step, strain11, strain22, strain12, stress11, stress22, stress12, d1, d2, d4, d5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, -0.0001, 0, 0, -33.9689, -2.75807, 0, 0, 0, 0, 0, 
2, -0.0002, 0, 0, -67.9377, -5.51614, 0, 0, 0, 0, 0, 
3, -0.0003, 0, 0, -101.907, -8.27421, 0, 0, 0, 0, 0, 
4, -0.0004, 0, 0, -135.875, -11.0323, 0, 0, 0, 0, 0, 
5, -0.0005, 0, 0, -169.844, -13.7903, 0, 0, 0, 0, 0, 
6, -0.0006, 0, 0, -203.813, -16.5484, 0, 0, 0, 0, 0, 
7, -0.0007, 0, 0, -237.782, -19.3065, 0, 0, 0, 0, 0, 
8, -0.0008, 0, 0, -271.751, -22.0646, 0, 0, 0, 0, 0, 
9, -0.0009, 0, 0, -305.72, -24.8226, 0, 0, 0, 0, 0, 
10, -0.001, 0, 0, -339.689, -27.5807, 0, 0, 0, 0, 0, 
11, -0.0011, 0, 0, -373.658, -30.3388, 0, 0, 0, 0, 0, 
12, -0.0012, 0, 0, -407.626, -33.0968, 0, 0, 0, 0, 0, 
13, -0.0013, 0, 0, -441.595, -35.8549, 0, 0, 0, 0, 0, 
14, -0.0014, 0, 0, -475.564, -38.613, 0, 0, 0, 0, 0, 
15, -0.0015, 0, 0, -509.533, -41.371, 0, 0, 0, 0, 0, 
16, -0.0016, 0, 0, -543.502, -44.1291, 0, 0, 0, 0, 0, 
17, -0.0017, 0, 0, -577.471, -46.8872, 0, 0, 0, 0, 0, 
18, -0.0018, 0, 0, -611.44, -49.6453, 0, 0, 0, 0, 0, 
19, -0.0019, 0, 0, -645.409, -52.4033, 0, 0, 0, 0, 0, 
20, -0.002, 0, 0, -679.377, -55.1614, 0, 0, 0, 0, 0, 
21, -0.0021, 0, 0, -713.346, -57.9195, 0, 0, 0, 0, 0, 
22, -0.0022, 0, 0, -747.315, -60.6775, 0, 0, 0, 0, 0, 
23, -0.0023, 0, 0, -781.284, -63.4356, 0, 0, 0, 0, 0, 
24, -0.0024, 0, 0, -815.253, -66.1937, 0, 0, 0, 0, 0, 
25, -0.0025, 0, 0, -849.222, -68.9517, 0, 0, 0, 0, 0, 
26, -0.0026, 0, 0, -883.191, -71.7098, 0, 0, 0, 0, 0, 
27, -0.0027, 0, 0, -917.16, -74.4679, 0, 0, 0, 0, 0, 
28, -0.0028, 0, 0, -951.128, -77.2259, 0, 0, 0, 0, 0, 
29, -0.0029, 0, 0, -985.097, -79.984, 0, 0, 0, 0, 0, 
30, -0.003, 0, 0, -1019.07, -82.7421, 0, 0, 0, 0, 0, 
31, -0.0031, 0, 0, -1053.04, -85.5002, 0, 0, 0, 0, 0, 
32, -0.0032, 0, 0, -1087, -88.2582, 0, 0, 0, 0, 0, 
33, -0.0033, 0, 0, -1120.97, -91.0163, 0, 0, 0, 0, 0, 
34, -0.0034, 0, 0, -1154.94, -93.7744, 0, 0, 0, 0, 0, 
35, -0.0035, 0, 0, -1188.91, -96.5324, 0, 0, 0, 0, 0, 
36, -0.0036, 0, 0, -1222.88, -99.2905, 0, 0, 0, 0, 0, 
37, -0.0037, 0, 0, -1256.85, -102.049, 0, 0, 0, 0, 0, 
38, -0.0038, 0, 0, -1290.82, -104.807, 0, 0, 0, 0, 0, 
39, -0.0039, 0, 0, -1324.79, -107.565, 0, 0, 0, 0, 0, 
40, -0.004, 0, 0, -1358.75, -110.323, 0, 0, 0, 0, 0, 
41, -0.0041, 0, 0, -1392.72, -113.081, 0, 0, 0, 0, 0, 
42, -0.0042, 0, 0, -1426.69, -115.839, 0, 0, 0, 0, 0, 
43, -0.0043, 0, 0, -1460.66, -118.597, 0, 0, 0, 0, 0, 
44, -0.0044, 0, 0, -1494.63, -121.355, 0, 0, 0, 0, 0, 
45, -0.0045, 0, 0, -1528.6, -124.113, 0, 0, 0, 0, 0, 
46, -0.0046, 0, 0, -1562.57, -126.871, 0, 0, 0, 0, 0, 
47, -0.0047, 0, 0, -1596.54, -129.629, 0, 0, 0, 0, 0, 
48, -0.0048, 0, 0, -1630.51, -132.387, 0, 0, 0, 0, 0, 
49, -0.0049, 0, 0, -1664.47, -135.145, 0, 0, 0, 0, 0, 
