step, strain11, strain22, strain12, stress11, stress22, stress12, d1, d2, d4, d5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 1.5e-05, 1.5e-05, 3e-05, 217.939, 217.939, 99.6521, 0.000416435, 0.000416435, 0, 0, 
2, 3e-05, 3e-05, 6e-05, 435.146, 435.146, 197.209, 0.00185296, 0.00185296, 0, 0, 
3, 4.5e-05, 4.5e-05, 9e-05, 651.195, 651.195, 291.541, 0.00385501, 0.00385501, 0, 0, 
4, 6e-05, 6e-05, 0.00012, 865.804, 865.804, 382.012, 0.00628941, 0.00628941, 0, 0, 
5, 7.5e-05, 7.5e-05, 0.00015, 1078.75, 1078.75, 468.231, 0.00908663, 0.00908663, 0, 0, 
6, 9e-05, 9e-05, 0.00018, 1289.84, 1289.84, 549.969, 0.0122014, 0.0122014, 0, 0, 
7, 0.000105, 0.000105, 0.00021, 1498.94, 1498.94, 627.124, 0.0156011, 0.0156011, 0, 0, 
8, 0.00012, 0.00012, 0.00024, 1705.89, 1705.89, 699.687, 0.0192603, 0.0192603, 0, 0, 
9, 0.000135, 0.000135, 0.00027, 1910.6, 1910.6, 767.718, 0.0231586, 0.0231586, 0, 0, 
10, 0.00015, 0.00015, 0.0003, 2112.97, 2112.97, 831.331, 0.0272789, 0.0272789, 0, 0, 
11, 0.000165, 0.000165, 0.00033, 2312.91, 2312.91, 890.676, 0.0316068, 0.0316068, 0, 0, 
12, 0.00018, 0.00018, 0.00036, 2510.35, 2510.35, 945.934, 0.0361294, 0.0361294, 0, 0, 
13, 0.000195, 0.000195, 0.00039, 2705.25, 2705.25, 997.298, 0.0408356, 0.0408356, 0, 0, 
14, 0.00021, 0.00021, 0.00042, 2897.54, 2897.54, 1044.98, 0.0457154, 0.0457154, 0, 0, 
15, 0.000225, 0.000225, 0.00045, 3087.21, 3087.21, 1089.18, 0.0507595, 0.0507595, 0, 0, 
16, 0.00024, 0.00024, 0.00048, 3274.2, 3274.2, 1130.11, 0.0559597, 0.0559597, 0, 0, 
17, 0.000255, 0.000255, 0.00051, 3458.52, 3458.52, 1167.99, 0.0613083, 0.0613083, 0, 0, 
18, 0.00027, 0.00027, 0.00054, 3640.13, 3640.13, 1203.01, 0.0667983, 0.0667983, 0, 0, 
19, 0.000285, 0.000285, 0.00057, 3819.03, 3819.03, 1235.38, 0.072423, 0.072423, 0, 0, 
20, 0.0003, 0.0003, 0.0006, 3995.23, 3995.23, 1265.26, 0.0781762, 0.0781762, 0, 0, 
21, 0.000315, 0.000315, 0.00063, 4168.72, 4168.72, 1292.85, 0.0840521, 0.0840521, 0, 0, 
22, 0.00033, 0.00033, 0.00066, 4339.5, 4339.5, 1318.31, 0.0900452, 0.0900452, 0, 0, 
23, 0.000345, 0.000345, 0.00069, 4507.61, 4507.61, 1341.8, 0.0961504, 0.0961504, 0, 0, 
24, 0.00036, 0.00036, 0.00072, 4673.04, 4673.04, 1363.45, 0.102363, 0.102363, 0, 0, 
25, 0.000375, 0.000375, 0.00075, 4835.83, 4835.83, 1383.43, 0.108677, 0.108677, 0, 0, 
26, 0.00039, 0.00039, 0.00078, 4995.99, 4995.99, 1401.84, 0.115089, 0.115089, 0, 0, 
27, 0.000405, 0.000405, 0.00081, 5153.55, 5153.55, 1418.81, 0.121595, 0.121595, 0, 0, 
28, 0.00042, 0.00042, 0.00084, 5308.54, 5308.54, 1434.46, 0.128191, 0.128191, 0, 0, 
29, 0.000435, 0.000435, 0.00087, 5460.99, 5460.99, 1448.88, 0.134871, 0.134871, 0, 0, 
30, 0.00045, 0.00045, 0.0009, 5610.94, 5610.94, 1462.17, 0.141633, 0.141633, 0, 0, 
31, 0.000465, 0.000465, 0.00093, 5758.41, 5758.41, 1474.42, 0.148474, 0.148474, 0, 0, 
32, 0.00048, 0.00048, 0.00096, 5903.45, 5903.45, 1485.72, 0.155388, 0.155388, 0, 0, 
33, 0.000495, 0.000495, 0.00099, 6046.1, 6046.1, 1496.13, 0.162373, 0.162373, 0, 0, 
34, 0.00051, 0.00051, 0.00102, 6186.39, 6186.39, 1505.73, 0.169426, 0.169426, 0, 0, 
35, 0.000525, 0.000525, 0.00105, 6324.37, 6324.37, 1514.57, 0.176544, 0.176544, 0, 0, 
36, 0.00054, 0.00054, 0.00108, 6460.07, 6460.07, 1522.74, 0.183722, 0.183722, 0, 0, 
37, 0.000555, 0.000555, 0.00111, 6593.54, 6593.54, 1530.26, 0.190959, 0.190959, 0, 0, 
38, 0.00057, 0.00057, 0.00114, 6724.82, 6724.82, 1537.21, 0.198251, 0.198251, 0, 0, 
39, 0.000585, 0.000585, 0.00117, 6853.96, 6853.96, 1543.62, 0.205596, 0.205596, 0, 0, 
40, 0.0006, 0.0006, 0.0012, 6980.99, 6980.99, 1549.54, 0.21299, 0.21299, 0, 0, 
41, 0.000615, 0.000615, 0.00123, 7105.97, 7105.97, 1555, 0.220431, 0.220431, 0, 0, 
42, 0.00063, 0.00063, 0.00126, 7228.93, 7228.93, 1560.05, 0.227916, 0.227916, 0, 0, 
43, 0.000645, 0.000645, 0.00129, 7349.92, 7349.92, 1564.72, 0.235444, 0.235444, 0, 0, 
