step, strain11, strain22, strain12, stress11, stress22, stress12, d1, d2, d4, d5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 3e-05, 0, 0, 385.736, 50.3514, 0, 5.15219e-06, 0, 0, 0, 
2, 6e-05, 0, 0, 771.232, 100.672, 0, 0.000305387, 0, 0, 0, 
3, 9e-05, 0, 0, 1156.23, 150.927, 0, 0.000821353, 0, 0, 0, 
4, 0.00012, 0, 0, 1540.59, 201.098, 0, 0.00148299, 0, 0, 0, 
5, 0.00015, 0, 0, 1924.18, 251.17, 0, 0.00226297, 0, 0, 0, 
6, 0.00018, 0, 0, 2306.91, 301.129, 0, 0.00314519, 0, 0, 0, 
7, 0.00021, 0, 0, 2688.7, 350.965, 0, 0.00411867, 0, 0, 0, 
8, 0.00024, 0, 0, 3069.45, 400.666, 0, 0.00517526, 0, 0, 0, 
9, 0.00027, 0, 0, 3449.11, 450.224, 0, 0.00630857, 0, 0, 0, 
10, 0.0003, 0, 0, 3827.6, 499.629, 0, 0.00751344, 0, 0, 0, 
11, 0.00033, 0, 0, 4204.86, 548.875, 0, 0.00878556, 0, 0, 0, 
12, 0.00036, 0, 0, 4580.84, 597.953, 0, 0.0101213, 0, 0, 0, 
13, 0.00039, 0, 0, 4955.49, 646.857, 0, 0.0115173, 0, 0, 0, 
14, 0.00042, 0, 0, 5328.75, 695.58, 0, 0.012971, 0, 0, 0, 
15, 0.00045, 0, 0, 5700.59, 744.117, 0, 0.0144798, 0, 0, 0, 
16, 0.00048, 0, 0, 6070.95, 792.463, 0, 0.0160415, 0, 0, 0, 
17, 0.00051, 0, 0, 6439.81, 840.611, 0, 0.017654, 0, 0, 0, 
18, 0.00054, 0, 0, 6807.12, 888.557, 0, 0.0193155, 0, 0, 0, 
19, 0.00057, 0, 0, 7172.85, 936.297, 0, 0.0210243, 0, 0, 0, 
20, 0.0006, 0, 0, 7536.97, 983.826, 0, 0.0227789, 0, 0, 0, 
21, 0.00063, 0, 0, 7899.44, 1031.14, 0, 0.0245777, 0, 0, 0, 
22, 0.00066, 0, 0, 8260.24, 1078.24, 0, 0.0264195, 0, 0, 0, 
23, 0.00069, 0, 0, 8619.34, 1125.11, 0, 0.0283029, 0, 0, 0, 
24, 0.00072, 0, 0, 8976.72, 1171.76, 0, 0.0302268, 0, 0, 0, 
25, 0.00075, 0, 0, 9332.35, 1218.18, 0, 0.0321901, 0, 0, 0, 
26, 0.00069, 0, 0, 8585.76, 1120.73, 0, 0.0321901, 0, 0, 0, 
27, 0.00063, 0, 0, 7839.17, 1023.27, 0, 0.0321901, 0, 0, 0, 
28, 0.00057, 0, 0, 7092.58, 925.819, 0, 0.0321901, 0, 0, 0, 
29, 0.00051, 0, 0, 6346, 828.365, 0, 0.0321901, 0, 0, 0, 
30, 0.00045, 0, 0, 5599.41, 730.91, 0, 0.0321901, 0, 0, 0, 
31, 0.00039, 0, 0, 4852.82, 633.455, 0, 0.0321901, 0, 0, 0, 
32, 0.00033, 0, 0, 4106.23, 536.001, 0, 0.0321901, 0, 0, 0, 
33, 0.00027, 0, 0, 3359.65, 438.546, 0, 0.0321901, 0, 0, 0, 
34, 0.00021, 0, 0, 2613.06, 341.091, 0, 0.0321901, 0, 0, 0, 
35, 0.00015, 0, 0, 1866.47, 243.637, 0, 0.0321901, 0, 0, 0, 
36, 9e-05, 0, 0, 1119.88, 146.182, 0, 0.0321901, 0, 0, 0, 
37, 3e-05, 0, 0, 373.294, 48.7273, 0, 0.0321901, 0, 0, 0, 
38, -3e-05, 0, 0, -385.738, -50.3517, 0, 0.0321901, 0, 0, 0, 
39, -9e-05, 0, 0, -1157.21, -151.055, 0, 0.0321901, 0, 0, 0, 
40, -0.00015, 0, 0, -1928.69, -251.759, 0, 0.0321901, 0, 0, 0, 
41, -0.00021, 0, 0, -2700.17, -352.462, 0, 0.0321901, 0, 0, 0, 
42, -0.00027, 0, 0, -3471.64, -453.165, 0, 0.0321901, 0, 0, 0, 
43, -0.00033, 0, 0, -4243.12, -553.869, 0, 0.0321901, 0, 0, 0, 
44, -0.00039, 0, 0, -5014.59, -654.572, 0, 0.0321901, 0, 0, 0, 
45, -0.00045, 0, 0, -5786.07, -755.276, 0, 0.0321901, 0, 0, 0, 
46, -0.00051, 0, 0, -6557.55, -855.979, 0, 0.0321901, 0, 0, 0, 
47, -0.00057, 0, 0, -7329.02, -956.682, 0, 0.0321901, 0, 0, 0, 
48, -0.00063, 0, 0, -8100.5, -1057.39, 0, 0.0321901, 0, 0, 0, 
49, -0.00069, 0, 0, -8871.97, -1158.09, 0, 0.0321901, 0, 0, 0, 
50, -0.00075, 0, 0, -9643.45, -1258.79, 0, 0.0321901, 0, 0, 0, 
51, -0.000675, 0, 0, -8679.1, -1132.91, 0, 0.0321901, 0, 0, 0, 
52, -0.0006, 0, 0, -7714.76, -1007.03, 0, 0.0321901, 0, 0, 0, 
53, -0.000525, 0, 0, -6750.41, -881.155, 0, 0.0321901, 0, 0, 0, 
54, -0.00045, 0, 0, -5786.07, -755.276, 0, 0.0321901, 0, 0, 0, 
55, -0.000375, 0, 0, -4821.72, -629.396, 0, 0.0321901, 0, 0, 0, 
56, -0.0003, 0, 0, -3857.38, -503.517, 0, 0.0321901, 0, 0, 0, 
57, -0.000225, 0, 0, -2893.03, -377.638, 0, 0.0321901, 0, 0, 0, 
58, -0.00015, 0, 0, -1928.69, -251.759, 0, 0.0321901, 0, 0, 0, 
59, -7.5e-05, 0, 0, -964.345, -125.879, 0, 0.0321901, 0, 0, 0, 
60, 0, 0, 0, 0, 0, 0, 0.0321901, 0, 0, 0, 
61, 7.5e-05, 0, 0, 933.235, 121.818, 0, 0.0321901, 0, 0, 0, 
62, 0.00015, 0, 0, 1866.47, 243.637, 0, 0.0321901, 0, 0, 0, 
63, 0.000225, 0, 0, 2799.7, 365.455, 0, 0.0321901, 0, 0, 0, 
64, 0.0003, 0, 0, 3732.94, 487.273, 0, 0.0321901, 0, 0, 0, 
65, 0.000375, 0, 0, 4666.17, 609.092, 0, 0.0321901, 0, 0, 0, 
66, 0.00045, 0, 0, 5599.41, 730.91, 0, 0.0321901, 0, 0, 0, 
67, 0.000525, 0, 0, 6532.64, 852.728, 0, 0.0321901, 0, 0, 0, 
68, 0.0006, 0, 0, 7465.88, 974.547, 0, 0.0321901, 0, 0, 0, 
69, 0.000675, 0, 0, 8399.11, 1096.37, 0, 0.0321901, 0, 0, 0, 
70, 0.00075, 0, 0, 9332.35, 1218.18, 0, 0.0321901, 0, 0, 0, 
71, 0.000825, 0, 0, 10213.7, 1333.22, 0, 0.0372636, 0, 0, 0, 
72, 0.0009, 0, 0, 11083.6, 1446.78, 0, 0.0425614, 0, 0, 0, 
73, 0.000975, 0, 0, 11942, 1558.83, 0, 0.0480701, 0, 0, 0, 
74, 0.00105, 0, 0, 12788.6, 1669.34, 0, 0.0537776, 0, 0, 0, 
75, 0.001125, 0, 0, 13623.3, 1778.3, 0, 0.0596728, 0, 0, 0, 
76, 0.0012, 0, 0, 14446, 1885.68, 0, 0.0657458, 0, 0, 0, 
77, 0.001275, 0, 0, 15256.5, 1991.48, 0, 0.0719872, 0, 0, 0, 
78, 0.00135, 0, 0, 16054.9, 2095.7, 0, 0.0783884, 0, 0, 0, 
79, 0.001425, 0, 0, 16841.1, 2198.33, 0, 0.0849414, 0, 0, 0, 
80, 0.0015, 0, 0, 17615.2, 2299.37, 0, 0.0916387, 0, 0, 0, 
81, 0.001575, 0, 0, 18377.2, 2398.84, 0, 0.0984732, 0, 0, 0, 
82, 0.00165, 0, 0, 19127.1, 2496.72, 0, 0.105438, 0, 0, 0, 
83, 0.001725, 0, 0, 19865, 2593.05, 0, 0.112527, 0, 0, 0, 
84, 0.0018, 0, 0, 20591.1, 2687.82, 0, 0.119734, 0, 0, 0, 
85, 0.001875, 0, 0, 21305.4, 2781.06, 0, 0.127053, 0, 0, 0, 
86, 0.00195, 0, 0, 22008, 2872.78, 0, 0.134479, 0, 0, 0, 
87, 0.002025, 0, 0, 22699.2, 2963, 0, 0.142006, 0, 0, 0, 
88, 0.0021, 0, 0, 23379, 3051.74, 0, 0.149629, 0, 0, 0, 
89, 0.002175, 0, 0, 24047.6, 3139.01, 0, 0.157344, 0, 0, 0, 
90, 0.00225, 0, 0, 24705.2, 3224.85, 0, 0.165145, 0, 0, 0, 
91, 0.002325, 0, 0, 25351.9, 3309.28, 0, 0.173029, 0, 0, 0, 
92, 0.0024, 0, 0, 25988, 3392.31, 0, 0.18099, 0, 0, 0, 
93, 0.002475, 0, 0, 26613.7, 3473.97, 0, 0.189025, 0, 0, 0, 
94, 0.00255, 0, 0, 27229, 3554.3, 0, 0.19713, 0, 0, 0, 
95, 0.002625, 0, 0, 27834.3, 3633.31, 0, 0.2053, 0, 0, 0, 
96, 0.0027, 0, 0, 28429.7, 3711.03, 0, 0.213531, 0, 0, 0, 
97, 0.002775, 0, 0, 29015.4, 3787.49, 0, 0.221821, 0, 0, 0, 
98, 0.00285, 0, 0, 29591.7, 3862.71, 0, 0.230164, 0, 0, 0, 
99, 0.002925, 0, 0, 30158.7, 3936.72, 0, 0.238559, 0, 0, 0, 
100, 0.003, 0, 0, 30716.7, 4009.55, 0, 0.247001, 0, 0, 0, 
