step, strain11, strain22, strain12, stress11, stress22, stress12, d1, d2, d4, d5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 0, 0.0001, 0, 2.75807, 16.2239, 0, 0, 0, 0, 0, 
2, 0, 0.0002, 0, 5.51614, 32.4479, 0, 0, 0, 0, 0, 
3, 0, 0.0003, 0, 8.27421, 48.6718, 0, 0, 0, 0, 0, 
4, 0, 0.0004, 0, 11.0323, 64.8958, 0, 0, 0, 0, 0, 
5, 0, 0.0005, 0, 13.7903, 81.1197, 0, 0, 0, 0, 0, 
6, 0, 0.0006, 0, 16.5484, 97.3436, 0, 0, 0, 0, 0, 
7, 0, 0.0007, 0, 19.3065, 113.568, 0, 0, 0, 0, 0, 
8, 0, 0.0008, 0, 22.0391, 129.642, 0, 0, 0.00113895, 0, 0, 
9, 0, 0.0009, 0, 24.6685, 145.109, 0, 0, 0.0061602, 0, 0, 
10, 0, 0.001, 0, 27.1306, 159.592, 0, 0, 0.0163626, 0, 0, 
11, 0, 0.0011, 0, 29.3705, 172.768, 0, 0, 0.032513, 0, 0, 
12, 0, 0.0012, 0, 31.3472, 184.395, 0, 0, 0.0550452, 0, 0, 
13, 0, 0.0013, 0, 33.0374, 194.338, 0, 0, 0.0841054, 0, 0, 
14, 0, 0.0014, 0, 34.4376, 202.574, 0, 0, 0.119571, 0, 0, 
15, 0, 0.0015, 0, 35.5629, 209.194, 0, 0, 0.161064, 0, 0, 
16, 0, 0.0016, 0, 36.4436, 214.374, 0, 0, 0.207977, 0, 0, 
17, 0, 0.0017, 0, 37.1198, 218.352, 0, 0, 0.259498, 0, 0, 
18, 0, 0.0018, 0, 37.637, 221.394, 0, 0, 0.31465, 0, 0, 
19, 0, 0.0019, 0, 38.0409, 223.77, 0, 0, 0.372339, 0, 0, 
20, 0, 0.002, 0, 38.3746, 225.733, 0, 0, 0.431408, 0, 0, 
21, 0, 0.0021, 0, 38.676, 227.506, 0, 0, 0.490686, 0, 0, 
22, 0, 0.0022, 0, 38.9775, 229.28, 0, 0, 0.549047, 0, 0, 
23, 0, 0.0023, 0, 39.3051, 231.206, 0, 0, 0.605454, 0, 0, 
24, 0, 0.0024, 0, 39.679, 233.406, 0, 0, 0.659004, 0, 0, 
25, 0, 0.0025, 0, 40.1143, 235.966, 0, 0, 0.708959, 0, 0, 
26, 0, 0.0026, 0, 40.6213, 238.949, 0, 0, 0.754763, 0, 0, 
27, 0, 0.0027, 0, 41.2064, 242.391, 0, 0, 0.79605, 0, 0, 
28, 0, 0.0028, 0, 41.8729, 246.311, 0, 0, 0.832641, 0, 0, 
29, 0, 0.0029, 0, 42.6211, 250.713, 0, 0, 0.864528, 0, 0, 
30, 0, 0.003, 0, 43.4493, 255.584, 0, 0, 0.891855, 0, 0, 
31, 0, 0.0031, 0, 44.3538, 260.904, 0, 0, 0.914882, 0, 0, 
32, 0, 0.0032, 0, 45.3295, 266.644, 0, 0, 0.933964, 0, 0, 
33, 0, 0.0033, 0, 46.3706, 272.768, 0, 0, 0.949513, 0, 0, 
34, 0, 0.0034, 0, 47.4703, 279.237, 0, 0, 0.96197, 0, 0, 
35, 0, 0.0035, 0, 48.6216, 286.009, 0, 0, 0.971782, 0, 0, 
36, 0, 0.0036, 0, 49.8174, 293.044, 0, 0, 0.979381, 0, 0, 
37, 0, 0.0037, 0, 51.051, 300.3, 0, 0, 0.985166, 0, 0, 
38, 0, 0.0038, 0, 52.3159, 307.74, 0, 0, 0.989494, 0, 0, 
39, 0, 0.0039, 0, 53.6062, 315.331, 0, 0, 0.992678, 0, 0, 
40, 0, 0.004, 0, 54.9169, 323.041, 0, 0, 0.994978, 0, 0, 
41, 0, 0.0041, 0, 56.2434, 330.844, 0, 0, 0.996612, 0, 0, 
42, 0, 0.0042, 0, 57.5821, 338.718, 0, 0, 0.997751, 0, 0, 
43, 0, 0.0043, 0, 58.9299, 346.647, 0, 0, 0.998533, 0, 0, 
44, 0, 0.0044, 0, 60.2844, 354.614, 0, 0, 0.999058, 0, 0, 
45, 0, 0.0045, 0, 61.6437, 362.61, 0, 0, 0.999406, 0, 0, 
46, 0, 0.0046, 0, 63.0064, 370.626, 0, 0, 0.999632, 0, 0, 
47, 0, 0.0047, 0, 64.3715, 378.656, 0, 0, 0.999776, 0, 0, 
48, 0, 0.0048, 0, 65.7381, 386.695, 0, 0, 0.999866, 0, 0, 
49, 0, 0.0049, 0, 67.1058, 394.74, 0, 0, 0.999921, 0, 0, 
50, 0, 0.005, 0, 68.4741, 402.789, 0, 0, 0.999954, 0, 0, 
51, 0, 0.0051, 0, 69.8429, 410.841, 0, 0, 0.999974, 0, 0, 
52, 0, 0.0052, 0, 71.212, 418.894, 0, 0, 0.999986, 0, 0, 
53, 0, 0.0053, 0, 72.5812, 426.948, 0, 0, 0.999992, 0, 0, 
54, 0, 0.0054, 0, 73.9505, 435.003, 0, 0, 0.999996, 0, 0, 
55, 0, 0.0055, 0, 75.3199, 443.058, 0, 0, 0.999998, 0, 0, 
