step, strain11, strain22, strain12, stress11, stress22, stress12, d1, d2, d4, d5
0, 0, 0, -0, 0, 0, 0, 0, 0, 0, 0, 
1, 1.5e-05, 1.5e-05, -3e-05, 217.986, 217.986, -99.8598, 0.000135273, 0.000135273, 0, 0, 
2, 3e-05, 3e-05, -6e-05, 434.528, 434.528, -198.257, 0.000883463, 0.000883463, 0, 0.00058248, 
3, 4.5e-05, 4.5e-05, -9e-05, 647.054, 647.054, -293.496, 0.0019814, 0.0019814, 0, 0.00223097, 
4, 6e-05, 6e-05, -0.00012, 854.868, 854.868, -384.986, 0.00333882, 0.00333882, 0, 0.00434836, 
5, 7.5e-05, 7.5e-05, -0.00015, 1057.43, 1057.43, -472.32, 0.00491213, 0.00491213, 0, 0.00680434, 
6, 9e-05, 9e-05, -0.00018, 1254.39, 1254.39, -555.248, 0.00667392, 0.00667392, 0, 0.00953484, 
7, 0.000105, 0.000105, -0.00021, 1445.51, 1445.51, -633.635, 0.00860481, 0.00860481, 0, 0.0125, 
8, 0.00012, 0.00012, -0.00024, 1630.64, 1630.64, -707.432, 0.01069, 0.01069, 0, 0.0156722, 
9, 0.000135, 0.000135, -0.00027, 1809.72, 1809.72, -776.659, 0.0129179, 0.0129179, 0, 0.0190306, 
10, 0.00015, 0.00015, -0.0003, 1982.75, 1982.75, -841.387, 0.0152786, 0.0152786, 0, 0.022559, 
11, 0.000165, 0.000165, -0.00033, 2149.77, 2149.77, -901.728, 0.0177642, 0.0177642, 0, 0.0262445, 
12, 0.00018, 0.00018, -0.00036, 2310.84, 2310.84, -957.822, 0.0203674, 0.0203674, 0, 0.030076, 
13, 0.000195, 0.000195, -0.00039, 2466.07, 2466.07, -1009.83, 0.0230822, 0.0230822, 0, 0.0340445, 
14, 0.00021, 0.00021, -0.00042, 2615.59, 2615.59, -1057.93, 0.0259031, 0.0259031, 0, 0.0381419, 
15, 0.000225, 0.000225, -0.00045, 2759.52, 2759.52, -1102.31, 0.0288251, 0.0288251, 0, 0.0423614, 
16, 0.00024, 0.00024, -0.00048, 2898.03, 2898.03, -1143.16, 0.0318438, 0.0318438, 0, 0.0466969, 
17, 0.000255, 0.000255, -0.00051, 3031.26, 3031.26, -1180.67, 0.0349552, 0.0349552, 0, 0.0511428, 
18, 0.00027, 0.00027, -0.00054, 3159.39, 3159.39, -1215.03, 0.0381555, 0.0381555, 0, 0.0556944, 
19, 0.000285, 0.000285, -0.00057, 3282.59, 3282.59, -1246.44, 0.0414412, 0.0414412, 0, 0.0603472, 
20, 0.0003, 0.0003, -0.0006, 3401.01, 3401.01, -1275.08, 0.0448091, 0.0448091, 0, 0.0650972, 
21, 0.000315, 0.000315, -0.00063, 3514.82, 3514.82, -1301.12, 0.0482562, 0.0482562, 0, 0.0699407, 
22, 0.00033, 0.00033, -0.00066, 3624.2, 3624.2, -1324.74, 0.0517798, 0.0517798, 0, 0.0748742, 
23, 0.000345, 0.000345, -0.00069, 3729.31, 3729.31, -1346.09, 0.055377, 0.055377, 0, 0.0798946, 
24, 0.00036, 0.00036, -0.00072, 3830.31, 3830.31, -1365.35, 0.0590455, 0.0590455, 0, 0.0849991, 
25, 0.000375, 0.000375, -0.00075, 3927.36, 3927.36, -1382.65, 0.0627828, 0.0627828, 0, 0.0901849, 
26, 0.00039, 0.00039, -0.00078, 4020.61, 4020.61, -1398.13, 0.0665867, 0.0665867, 0, 0.0954494, 
27, 0.000405, 0.000405, -0.00081, 4110.21, 4110.21, -1411.93, 0.070455, 0.070455, 0, 0.10079, 
28, 0.00042, 0.00042, -0.00084, 4196.3, 4196.3, -1424.17, 0.0743856, 0.0743856, 0, 0.106205, 
29, 0.000435, 0.000435, -0.00087, 4279.03, 4279.03, -1434.97, 0.0783765, 0.0783765, 0, 0.111692, 
30, 0.00045, 0.00045, -0.0009, 4358.53, 4358.53, -1444.43, 0.082426, 0.082426, 0, 0.117249, 
31, 0.000465, 0.000465, -0.00093, 4434.92, 4434.92, -1452.65, 0.0865321, 0.0865321, 0, 0.122874, 
32, 0.00048, 0.00048, -0.00096, 4508.35, 4508.35, -1459.74, 0.090693, 0.090693, 0, 0.128565, 
33, 0.000495, 0.000495, -0.00099, 4578.92, 4578.92, -1465.78, 0.0949072, 0.0949072, 0, 0.134321, 
34, 0.00051, 0.00051, -0.00102, 4646.75, 4646.75, -1470.85, 0.0991729, 0.0991729, 0, 0.14014, 
35, 0.000525, 0.000525, -0.00105, 4711.96, 4711.96, -1475.04, 0.103489, 0.103489, 0, 0.14602, 
36, 0.00054, 0.00054, -0.00108, 4774.66, 4774.66, -1478.4, 0.107853, 0.107853, 0, 0.15196, 
37, 0.000555, 0.000555, -0.00111, 4834.94, 4834.94, -1481.01, 0.112264, 0.112264, 0, 0.157958, 
38, 0.00057, 0.00057, -0.00114, 4892.9, 4892.9, -1482.93, 0.11672, 0.11672, 0, 0.164014, 
