strain,stress
0.0,0.0
2.9999999242136255e-05,372.4800175987184
5.999999848427251e-05,744.9600351974368
9.000000136438757e-05,1117.4322217702866
0.00011999999696854502,1489.1533236950636
0.0001500000071246177,1859.8069017753005
0.00018000000272877514,2229.254610836506
0.0002099999983329326,2597.3463533446193
0.00023999999393709004,2963.946457952261
0.0002699999895412475,3328.9328068494797
0.0003000000142492354,3692.194789648056
0.00033000000985339284,4053.6324214190245
0.0003600000054575503,4413.153922185302
0.00039000000106170774,4770.675793290138
0.0004199999966658652,5126.120919361711
0.00044999999227002263,5479.419006034732
0.0004799999878741801,5830.505229532719
0.0005099999834783375,6179.320205003023
0.000539999979082495,6525.809220969677
0.0005699999746866524,6869.921982288361
0.0006000000284984708,7211.613118648529
0.0006300000241026282,7550.840348005295
0.0006600000197067857,7887.565579265356
0.0006900000153109431,8221.754532307386
0.0007200000109151006,8553.37555333972
0.000750000006519258,8882.400758564472
0.0007800000021234155,9208.804354071617
0.0008099999977275729,9532.564099878073
0.0008399999933317304,9853.661008179188
0.0008699999889358878,10172.077130526304
0.0008999999845400453,10487.798150628805
0.0009299999801442027,10800.811123102903
0.0009599999757483602,11111.106052994728
0.0009899999713525176,11418.674573302269
0.001019999966956675,11723.510403186083
0.0010499999625608325,12025.609068572521
0.00107999995816499,12324.96803253889
0.0011099999537691474,12621.587008237839
0.0011399999493733048,12915.465831756592
0.0011699999449774623,13206.606440246105
0.0012000000569969416,13495.01334875822
0.001230000052601099,13780.691683292389
0.0012600000482052565,14063.646852970123
0.001290000043809414,14343.886911869049
0.0013200000394135714,14621.420800685883
0.0013500000350177288,14896.257929503918
0.0013800000306218863,15168.409876525402
0.0014100000262260437,15437.888748943806
0.0014400000218302011,15704.70628887415
0.0014700000174343586,15968.876771628857
0.001500000013038516,16230.415515601635
0.0015300000086426735,16489.336632192135
0.001560000004246831,16745.657108724117
0.0015899999998509884,16999.39350038767
0.0016199999954551458,17250.563345849514
0.0016499999910593033,17499.184511601925
0.0016799999866634607,17745.27557939291
0.0017099999822676182,17988.855980336666
0.0017399999778717756,18229.945570230484
0.001769999973475933,18468.563497066498
0.0017999999690800905,18704.73200082779
0.001829999964684248,18938.470423221588
0.0018599999602884054,19169.80019211769
0.0018899999558925629,19398.743592202663
0.0019199999514967203,19625.32279640436
0.0019499999471008778,19849.559277296066
0.001979999942705035,20071.475453674793
0.0020099999383091927,20291.094549000263
0.00203999993391335,20508.439041674137
0.0020699999295175076,20723.532177507877
0.002099999925121665,20936.396844685078
0.0021299999207258224,21147.05664664507
0.00215999991632998,21355.53488880396
0.0021899999119341373,21561.855100095272
0.002219999907538295,21766.0411298275
0.0022499999031424522,21968.11657398939
0.0022799998987466097,22168.10493916273
0.002309999894350767,22366.030000150204
0.0023399998899549246,22561.915665864944
0.002369999885559082,22755.785554647446
0.002400000113993883,22947.663329541683
0.0024300001095980406,23137.573093175888
0.002460000105202198,23325.53806900978
0.0024900001008063555,23511.581748723984
0.002520000096410513,23695.727735757828
0.0025500000920146704,23878.000110387802
0.002580000087618828,24058.421567082405
0.0026100000832229853,24237.015679478645
0.0026400000788271427,24413.80439698696
0.0026700000744313,24588.813051581383
0.0027000000700354576,24762.06424832344
0.002730000065639615,24933.57764184475
0.0027600000612437725,25103.37959229946
0.00279000005684793,25271.492570638657
0.0028200000524520874,25437.936052680016
0.002850000048056245,25602.733716368675
0.0028800000436604023,25765.909418463707
0.0029100000392645597,25927.482828497887
0.002940000034868717,26087.47625350952
0.0029700000304728746,26245.911717414856
0.003000000026077032,26402.810215950012
